Subject,MatPath,ErrorLoading,TimePoints,RawROIs,RawROIsMatchExpected,NaNsCount,NaNsPct,ZerosCount,ZerosPct,NullChannelsCount,NullChannelsPct
006_S_6657,ROISignals_006_S_6657.mat,False,197,170,True,788,2.3529411764705883,0,0.0,0,0.0
006_S_6672,ROISignals_006_S_6672.mat,False,197,170,True,788,2.3529411764705883,0,0.0,0,0.0
006_S_6674,ROISignals_006_S_6674.mat,False,197,170,True,788,2.3529411764705883,0,0.0,0,0.0
006_S_6677,ROISignals_006_S_6677.mat,False,197,170,True,788,2.3529411764705883,0,0.0,0,0.0
006_S_6682,ROISignals_006_S_6682.mat,False,197,170,True,788,2.3529411764705883,0,0.0,0,0.0
006_S_6689,ROISignals_006_S_6689.mat,False,197,170,True,788,2.3529411764705883,0,0.0,0,0.0
006_S_6696,ROISignals_006_S_6696.mat,False,197,170,True,788,2.3529411764705883,0,0.0,0,0.0
006_S_6770,ROISignals_006_S_6770.mat,False,197,170,True,788,2.3529411764705883,0,0.0,0,0.0
010_S_4135,ROISignals_010_S_4135.mat,False,140,170,True,560,2.3529411764705883,0,0.0,0,0.0
010_S_4442,ROISignals_010_S_4442.mat,False,140,170,True,560,2.3529411764705883,0,0.0,0,0.0
010_S_5163,ROISignals_010_S_5163.mat,False,140,170,True,560,2.3529411764705883,0,0.0,0,0.0
011_S_4547,ROISignals_011_S_4547.mat,False,197,170,True,788,2.3529411764705883,0,0.0,0,0.0
011_S_4827,ROISignals_011_S_4827.mat,False,197,170,True,788,2.3529411764705883,0,0.0,0,0.0
011_S_4893,ROISignals_011_S_4893.mat,False,197,170,True,788,2.3529411764705883,0,0.0,0,0.0
011_S_6303,ROISignals_011_S_6303.mat,False,197,170,True,788,2.3529411764705883,0,0.0,0,0.0
011_S_6618,ROISignals_011_S_6618.mat,False,197,170,True,788,2.3529411764705883,0,0.0,0,0.0
012_S_4026,ROISignals_012_S_4026.mat,False,140,170,True,560,2.3529411764705883,0,0.0,0,0.0
012_S_4094,ROISignals_012_S_4094.mat,False,140,170,True,560,2.3529411764705883,0,0.0,0,0.0
012_S_4128,ROISignals_012_S_4128.mat,False,140,170,True,560,2.3529411764705883,0,0.0,0,0.0
012_S_4188,ROISignals_012_S_4188.mat,False,140,170,True,560,2.3529411764705883,0,0.0,0,0.0
012_S_4643,ROISignals_012_S_4643.mat,False,140,170,True,560,2.3529411764705883,0,0.0,0,0.0
012_S_4849,ROISignals_012_S_4849.mat,False,140,170,True,560,2.3529411764705883,0,0.0,0,0.0
012_S_4987,ROISignals_012_S_4987.mat,False,140,170,True,560,2.3529411764705883,0,0.0,0,0.0
012_S_6073,ROISignals_012_S_6073.mat,False,197,170,True,788,2.3529411764705883,0,0.0,0,0.0
012_S_6503,ROISignals_012_S_6503.mat,False,197,170,True,788,2.3529411764705883,0,0.0,0,0.0
012_S_6760,ROISignals_012_S_6760.mat,False,197,170,True,788,2.3529411764705883,0,0.0,0,0.0
013_S_1186,ROISignals_013_S_1186.mat,False,140,170,True,560,2.3529411764705883,0,0.0,0,0.0
013_S_2324,ROISignals_013_S_2324.mat,False,140,170,True,560,2.3529411764705883,0,0.0,0,0.0
013_S_2389,ROISignals_013_S_2389.mat,False,140,170,True,560,2.3529411764705883,0,0.0,0,0.0
013_S_4236,ROISignals_013_S_4236.mat,False,140,170,True,560,2.3529411764705883,0,0.0,0,0.0
013_S_4268,ROISignals_013_S_4268.mat,False,140,170,True,560,2.3529411764705883,0,0.0,0,0.0
013_S_4395,ROISignals_013_S_4395.mat,False,140,170,True,560,2.3529411764705883,0,0.0,0,0.0
013_S_4580,ROISignals_013_S_4580.mat,False,140,170,True,560,2.3529411764705883,0,0.0,0,0.0
013_S_4595,ROISignals_013_S_4595.mat,False,140,170,True,560,2.3529411764705883,0,0.0,0,0.0
013_S_4616,ROISignals_013_S_4616.mat,False,140,170,True,560,2.3529411764705883,0,0.0,0,0.0
013_S_4731,ROISignals_013_S_4731.mat,False,140,170,True,560,2.3529411764705883,0,0.0,0,0.0
013_S_4768,ROISignals_013_S_4768.mat,False,140,170,True,560,2.3529411764705883,0,0.0,0,0.0
013_S_4791,ROISignals_013_S_4791.mat,False,140,170,True,560,2.3529411764705883,0,0.0,0,0.0
013_S_4917,ROISignals_013_S_4917.mat,False,140,170,True,560,2.3529411764705883,0,0.0,0,0.0
013_S_4985,ROISignals_013_S_4985.mat,False,140,170,True,560,2.3529411764705883,0,0.0,0,0.0
013_S_5071,ROISignals_013_S_5071.mat,False,140,170,True,560,2.3529411764705883,0,0.0,0,0.0
013_S_6206,ROISignals_013_S_6206.mat,False,197,170,True,788,2.3529411764705883,0,0.0,0,0.0
013_S_6725,ROISignals_013_S_6725.mat,False,197,170,True,788,2.3529411764705883,0,0.0,0,0.0
013_S_6768,ROISignals_013_S_6768.mat,False,197,170,True,788,2.3529411764705883,0,0.0,0,0.0
013_S_6970,ROISignals_013_S_6970.mat,False,197,170,True,788,2.3529411764705883,0,0.0,0,0.0
013_S_6975,ROISignals_013_S_6975.mat,False,197,170,True,788,2.3529411764705883,0,0.0,0,0.0
013_S_7097,ROISignals_013_S_7097.mat,False,197,170,True,788,2.3529411764705883,0,0.0,0,0.0
014_S_2308,ROISignals_014_S_2308.mat,False,197,170,True,788,2.3529411764705883,0,0.0,0,0.0
014_S_6087,ROISignals_014_S_6087.mat,False,197,170,True,788,2.3529411764705883,0,0.0,0,0.0
014_S_6765,ROISignals_014_S_6765.mat,False,197,170,True,788,2.3529411764705883,0,0.0,0,0.0
014_S_6944,ROISignals_014_S_6944.mat,False,197,170,True,788,2.3529411764705883,0,0.0,0,0.0
018_S_2133,ROISignals_018_S_2133.mat,False,140,170,True,560,2.3529411764705883,0,0.0,0,0.0
